rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual,ride_length,day_of_the week,,,
docked_bike,03-04-2020 19:48,03-04-2020 20:01,Austin Blvd & Lake St,532,Laramie Ave & Madison St,540,41.8879,-87.7744,41.8802,-87.7553,casual,00:12:53,6,,,
docked_bike,01-04-2020 15:15,01-04-2020 15:18,Central Ave & Madison St,542,Laramie Ave & Madison St,540,41.8801,-87.7632,41.8802,-87.7553,member,00:02:54,4,,,
docked_bike,04-04-2020 23:10,12-05-2020 13:35,Latrobe Ave & Chicago Ave,642,Laramie Ave & Madison St,540,41.8947,-87.7569,41.8802,-87.7553,member,14:24:27,7,,,
docked_bike,11-04-2020 13:58,11-04-2020 14:05,Laramie Ave & Kinzie St,530,Laramie Ave & Madison St,540,41.8878,-87.7555,41.8802,-87.7553,member,00:06:38,7,,,
docked_bike,06-04-2020 10:25,06-04-2020 10:34,Laramie Ave & Kinzie St,530,Laramie Ave & Madison St,540,41.8878,-87.7555,41.8802,-87.7553,member,00:08:13,2,,,
docked_bike,22-04-2020 21:50,22-04-2020 23:13,Laramie Ave & Madison St,540,Laramie Ave & Madison St,540,41.8802,-87.7553,41.8802,-87.7553,casual,01:22:57,4,,,
docked_bike,12-04-2020 09:54,12-04-2020 10:01,Cicero Ave & Quincy St,539,Laramie Ave & Madison St,540,41.8776,-87.7454,41.8802,-87.7553,member,00:07:26,1,,,
docked_bike,20-04-2020 02:45,20-04-2020 03:14,Kostner Ave & Adams St,545,Laramie Ave & Madison St,540,41.8779,-87.7357,41.8802,-87.7553,member,00:28:22,2,,,
docked_bike,08-04-2020 16:15,08-04-2020 16:40,Pulaski Rd & Lake St,528,Laramie Ave & Madison St,540,41.8854,-87.7265,41.8802,-87.7553,member,00:25:36,4,,,
docked_bike,20-04-2020 16:04,20-04-2020 16:58,Milwaukee Ave & Cuyler Ave,589,Milwaukee Ave & Cuyler Ave,589,41.9545,-87.7496,41.9545,-87.7496,casual,00:54:06,2,,,
docked_bike,03-04-2020 15:11,03-04-2020 16:03,Milwaukee Ave & Cuyler Ave,589,Milwaukee Ave & Cuyler Ave,589,41.9545,-87.7496,41.9545,-87.7496,casual,00:51:34,6,,,
